ISBN,title,publish_date,no_pages,series,author,publisher,description
9788382158571,Zachowaj spokój ,17/04/2008,432,,Harlan Coben,Albatros,Nie ufaj nikomu. Zwłaszcza własnej rodzinie.
9788367093453,Krwawnica ,27/04/2022,364,,Mieczysław Gorzka,Skarpa Warszawska,"Wciągający thriller, w którym strach ma różne oblicza. Nawet te najmniej ludzkie…"
9788328720893,"Tam, gdzie las spotyka się z niebem ",01/03/2019,352,,Glendy Vanderah,Muza,"Bestseller Amazon Charts, „Wall Street Journal” i „Washington Post”"
9788381439961,Plac Senacki 6 PM ,18/05/2022,568,,Vincent V. Severski,Czarna Owca,Niekwestionowany mistrz powieści szpiegowskiej powraca z zupełnie nowym thrillerem o narodzinach imperium Putina.
9788328721081,Królestwo Nikczemnych ,27/10/2020,448,Królestwo Nikczemnych ,Kerri Maniscalco,Muza,"Emilia i jej siostra Vittoria są streghe - czarownicami ze starego rodu, którego korzenie sięgają samej Bogini Księżyca. Jednak ich codzienne życie częściej kręci się wokół oliwy z oliwek i świeżej bruschetty niż zaklęć. Dziewczyny pomagają babci i rodzicom prowadzić rodzinną restaurację. Ich pochodzenie i magiczny talent może ściągnąć na nie duże niebezpieczeństwo - niejedna streghe zginęła na stosie, skazana na śmierć z powodu ignorancji i strachu swoich sąsiadów. Zresztą osiemnastoletnie dziewczyny są dużo bardziej zainteresowane chłopakami i wiadomościami z miasta niż starymi legendami opowiadanymi przez babcię."
9788381399920,Chodź ze mną ,18/05/2022,464,,Łukasz Orbitowski,Świat Książki,"Rok 1958. Helena, dwudziestoletnia studentka stomatologii z Gdyni, zakochuje się w sowieckim kapitanie niszczyciela. Kola jest starszy i żonaty. Niemożliwa miłość w Polsce Ludowej zmusza ich do brawurowej ucieczki do Szwecji. Wyruszając w podróż ku szczęściu, nie znają ceny jaką zapłacą za wspólne życie. Czy odnajdąbezpiecznąprzystań?"
9788328720909,Cienie między nami ,25/02/2020,320,,Tricia Levenseller,Muza,"Alessandra Stathos, druga córka lorda Masisa, ma dość bycia ignorowaną, dlatego opracowała doskonały plan, jak zdobyć władzę: 1) uwieść Króla Cieni, 2) poślubić go, 3) zabić go i zagarnąć jego królestwo dla siebie. Nikt nie wie, na czym dokładnie polega moc niedawno koronowanego Króla Cieni. Niektórzy twierdzą, że potrafi on nakłonić wirujące wokół niego cienie, by wykonywały jego rozkazy. Inni zaś utrzymują, że te cienie do niego mówią, szepcząc mu na ucho myśli jego wrogów. Tak czy owak, Alessandra wie, że zasługuje na to, by zostać królową, i zrobi wszystko, by osiągnąć swój cel. Jednak nie tylko ona usiłuje zabić króla. W obliczu kolejnych prób zamachu na Króla Cieni, Alessandra postanawia za wszelką cenę dopilnować, by pozostał przy życiu, dopóki ona nie zostanie jego żoną, równocześnie ze wszystkich sił starając się nie stracić głowy i… serca. Odkrywa bowiem, że nie tylko ona byłaby dla niego idealną królową, lecz także on byłby idealnym partnerem dla niej. Oboje są równie podstępni, ambitni, bezwzględni, a także… samotni i spragnieni miłości. "
9788381788168,Nieznajomy z samolotu ,26/09/2019,479,Bracia Miles ,T.L. Swan,NieZwykłe,"Podróż powrotna Emily Foster ze ślubu koleżanki zaczęła się gorzej niż źle. Kiedy kobieta czeka na odprawę, jakiś pijany facet próbuje zniszczyć jej bagaż. Na szczęście obsługa lotniska jako rekompensatę proponuje dziewczynie lot w pierwszej klasie."
9788328380165,Start a fire. Runda pierwsza ,12/01/2022,608,Trylogia Hell ,P.S. Herytiera,Editio Red,"Wznieciliśmy ogień, nad którym nie byliśmy w stanie zapanować"
9788328720220,Krew i popiół ,30/03/2020,512,Krew i popiół ,Jennifer L. Armentrout,You&Ya,"Poppy jest Panną. Jej życie jest pełne samotności. Nikt nie może jej dotknąć. Tylko garstka wybrańców może zobaczyć jej twarz albo z nią porozmawiać. Jej egzystencja jest pozbawiona wszelkiej przyjemności. Poświęcona bogom, ma tylko jedno zadanie - przygotować się do Ascendencji, rytuału, który ma zapoczątkować nową erę."
9788382660074,Heartstopper. Tom 1 ,01/10/2018,288,Heartstopper ,Alice Oseman,Jaguar,"Powieść graficzna LGBTQ+ o życiu, miłości i wszystkim, co dzieje się pomiędzy – gratka dla fanów filmu Twój Simon i książek Holly Bourne."
9788367054966,Wstyd ,13/04/2022,408,,Robert Małecki,Czwarta Strona,"Wstyd zamyka nam usta. Ale przemilczane sprawy zawsze wracają. Julia Karlińska, była policjantka nazywana Karlą, uczy historii w liceum medycznym i samotnie wychowuje nastoletnich bliźniaków. Mundur odwiesiła po tragicznej śmierci męża, policjanta, który zginął w wypadku motocyklowym. Sprawcy tragedii nigdy nie odnaleziono."
9788382153767,Życie Violette ,14/05/2021,480,,Valerie Perrin,Albatros,Oda do szczęścia i pochwała radości z małych rzeczy.
9788381438681,Mentalista ,22/03/2022,680,Mentalista ,Henrik Fexeus,Czarna Owca,Pierwsza część nowej serii kryminalnej Camilli Läckberg i Henrika Fexeusa!
9788382522358,Dom ,27/04/2022,448,,Piotr Kościelny,Czarna Owca,"Wschowa to spokojne, niewielkie miasto, którego sielankę przerywają dwie zagadkowe śmierci. Na swoje życie targnęli się były nauczyciel i ksiądz miejscowej parafii."
9788381959865,Obrazy z przeszłości ,18/05/2022,464,Seweryn Zaorski ,Remigiusz Mróz,Filia,"Dwadzieścia lat temu w Żeromicach zaginęła jedna z mieszkanek – prowadzący postępowanie policjanci nigdy nie ustalili, co stało się z dziewczyną, a śledczy nie odnaleźli żadnego tropu, który pozwoliłby wyjaśnić zagadkę. Pierwsze ślady pojawiły się dopiero dwie dekady później, kiedy w okolicznych lasach zaczęto odkrywać rzeczy mogące należeć do zaginionej."
9788381392686,Gdzie śpiewają raki ,30/10/2019,416,,Delia Owens,Świat Książki,"Pogłoski o Dziewczynie z Bagien latami krążyły po Barkley Cove, sennym miasteczku u wybrzeży Karoliny Północnej. Dlatego pod koniec 1969 roku, gdy na mokradłach znaleziono ciało przystojnego Chase’a Andrewsa, miejscowi zwrócili się przeciwko Kyi Clark, zwanej Dziewczyną z Bagien."
9788328717190,Zostań dla mnie ,08/12/2020,384,Arrowood Brothers ,Corinne Michaels,Muza,"W „Zostań dla mnie”, ostatniej części serii, pierwszoplanowym bohaterem jest Jacob. Robi karierę filmową w Hollywood, jako przystojny kawaler jest obiektem zainteresowania paparazzi i prasy plotkarskiej. Nie pasuje do małego Sugarloaf, ale zgodnie z ostatnią wolą ojca musi tu spędzić sześć miesięcy. Kiedy spotyka Brennę Allen, jego świat staje na głowie. Czy wykorzysta szansę na prawdziwą miłość i znajdzie powód, by zostać w swoim rodzinnym miasteczku?"
9788381350938,Zabijaj uważnie ,02/06/2021,400,Zabijaj uważnie ,Karsten Dusse,Otwarte,"Björn Diemel, odnoszący sukcesy adwokat, zostaje zmuszony przez żonę do pójścia na terapię. Kobieta postawiła mu ultimatum: albo poprawi swój work-life balance, albo koniec z ich małżeństwem, a o kontaktach z córką może zapomnieć. Wizyty w gabinecie nie tylko szybko przynoszą owoce, ale w finezji uczeń przerasta mistrza. Kiedy natrętny klient Björna – brutalny kryminalista – zaczyna przysparzać mu problemów, adwokat zabija go zgodnie ze wszystkimi regułami mindfulness wyniesionymi z terapii. A to dopiero początek… "
9788382520125,Krew z krwi ,19/05/2021,400,,Przemysław Piotrowski,Czarna Owca,"Gdy pewnego ranka policjanci z wydziału zabójstw pukają do jego drzwi, Daniel Adamski nie wydaje się zaskoczony. Zaniepokojony, zestresowany, zdenerwowany – tak. Ale tej wizyty akurat się spodziewał. W końcu to dopiero pierwszy raz, kiedy ktoś zabił człowieka dokładnie tak, jak Adamski opisał to w jednej ze swoich książek."
9788381784405,Złamana lojalność ,01/10/2018,359,Camorra Chronicles ,Cora Reilly,NieZwykłe,"Fabiano od najmłodszych lat był wychowywany z myślą o tym, że pójdzie w ślady ojca i podobnie jak on zostanie consigliere w chicagowskim oddziale. Jednak tak się nie dzieje. Skazany na śmierć, ledwo żywy czternastoletni chłopak walczy o przetrwanie. "
9788328021419,Dwór cierni i róż ,05/05/2015,524,Dwór cierni i róż ,Sarah J. Maas,Uroboros,"Autorka bestsellerowej serii Szklany Tron powraca z porywającą opowieścią o miłości, która jest w stanie pokonać nienawiść i uprzedzenia!"
9788382155488,Dom Głosów ,02/12/2019,352,,Donato Carrisi,Albatros,"Nowa powieść jednego z najpopularniejszych włoskich pisarzy, autora słynnego „Zaklinacza”, którego thrillery cenią m.in. Michael Connelly oraz Ken Follett."
9788379240821,Czas Żniw ,06/11/2013,520,Czas Żniw ,Samantha Shannon,Sine Qua Non,Sajon.
9788366890138,Beach Read. Wakacyjny romans ,19/05/2020,440,,Emily Henry,Wydawnictwo Kobiece,"Międzynarodowy bestseller, który rozpali cię w te wakacje!"
9788328087620,Wizjer ,01/01/2021,352,,Magdalena Witkiewicz,W.A.B.,"Nowa ekscytująca powieść Magdaleny Witkiewicz, jednej z najpopularniejszych polskich pisarek. „Wizjer” to znakomity, trzymający w napięciu thriller, który od samego początku wciąga w genialną intrygę, nie raz zaskoczy i sprawi, że na nowo spojrzysz na otaczającą cię rzeczywistość – zarówno tę realną, jak i wirtualną."
9788382151763,Niewinny ,01/01/2005,416,,Harlan Coben,Albatros,Jeden mały błąd może zmienić wszystko.
9788366839113,Shuggie Bain ,20/02/2020,448,,Douglas Stuart,Wydawnictwo Poznańskie,Najgłośniejszy światowy debiut literacki ostatnich lat.
9788366657311,Niewidzialne życie Addie LaRue ,06/10/2020,608,,Victoria Schwab,We need YA,"Nigdy nie módl się do bogów, którzy odpowiadają po zmroku”."
9788381954785,Ekstremista ,19/05/2021,464,Gerard Edling ,Remigiusz Mróz,Filia,"W Opolu znika maturzystka, a jedynym pozostawionym przez nią śladem jest karta tarota z symbolem sprawiedliwości. Rodzina nie zamierza iść na policję, gdyż twierdzi, że dziewczyna zmagała się z problemami i nieraz deklarowała, że któregoś dnia ucieknie z domu."
9788366657410,Miasto mosiądzu ,14/11/2017,592,Dewabad ,S.A. Chakraborty,We need YA,"Wkrocz do magicznego miasta, w którym przyszłość królestwa spoczywa w rękach sprytnej i buntowniczej oszustki!"
9788328716988,Ring ,16/06/2021,320,,Anna Wolf,Akurat,"Carter Daring jest zawodowym bokserem. Przygotowuje się do walki, która może okazać się przepustką do pojedynku o tytuł mistrza świata w wadze półciężkiej. Któregoś dnia, wracając z treningu natyka się na przewrócony samochód. Wzywa pogotowie i jedzie do domu, ale widok, który ujrzał na miejscu wypadku, nie daje mu spokoju; zielone oczy i ciemne włoscy śnią mu się po nocach… Nie wie jeszcze, że przeznaczenie właśnie nierozerwalnie splotło jego los z losem Alice Morset i że walka, jaką niebawem stoczy na ringu, będzie zaledwie wstępem do rozgrywki, w której stawką jest coś znacznie cenniejszego od mistrzowskiego pasa. "
9788366736252,"Dziewczyna, kobieta, inna ",02/05/2019,496,,Bernardine Evaristo,Wydawnictwo Poznańskie,Zwyciężczyni Nagrody Bookera w 2019 roku
9788328716957,Przysięga ,02/06/2021,368,Grzechy mafii ,Magdalena Winnicka,Muza,"Felicja odzyskuje pamięć, a wraz z nią chce odzyskać męża. Okazuje się jednak, że współorganizacja jego ucieczki z więzienia to za mało; Alex jest przekonany, że wolność zawdzięcza Michaelowi. Znika bez śladu, ale Felicja nie daje za wygraną. Wie, że nosi jego dziecko, wie, że pragnie tylko jego, że nie chce spędzić życia z nikim innym. Przez chwilę wydaje się, że już wszystko będzie dobrze, że wiadomość o ciąży Felicjii da Alexowi szczęście i spokój, którego w głębi duszy pragnie, ale do głosu dochodzą demony przeszłości i to, co mogło być cudowną rodzinną sielanką zamienia się w koszmar przepełniony pożądaniem, niezrealizowanymi pragnieniami i zdruzgotanymi nadziejami. "
9788328717268,Niewolnica mafiosa ,19/05/2021,320,,I.M. Darkss,Akurat,Jest marionetką. Jest zabawką. Jest nikim. Nie ma nawet imienia. 
9788366737136,Droga do Wyraju ,23/06/2021,320,Demony Welesa ,Kamila Szczubełek,Papierowy Księżyc,"Wąpierz Elgan wiódł w miarę spokojne życie, do czasu, gdy na jego drodze stanął Smęt. Pokraczny, śmierdzący demon, sprowadzony przez samozwańczego szamana, powoli popada w obłęd, który mogą ujarzmić tylko bogowie. Aby zapobiec katastrofie, jaką zwiastuje coraz gorszy stan niesfornego demona, wąpierz Elgan wyrusza na poszukiwanie lasu Czarnoboga, by oddać mu w opiekę istotę odrzuconą przez innych bogów."
9788324073351,Dom Holendrów ,24/09/2019,336,,Ann Patchett,Znak Literanova,"Powieść nominowana do Nagrody Pulitzera, porównywana do twórczości F. Scotta Fitzgeralda"
9788328716018,Wróć do mnie ,07/01/2020,416,Arrowood Brothers ,Corinne Michaels,Muza,Jedna noc sprzed ośmiu lat na zawsze odmieniła jego życie.
9788328088931,Dewocje ,19/05/2021,304,,Anna Ciarkowska,W.A.B.,"Powieść autorki głośnych i bestsellerowych „Pestek“ oraz „Chłopców, których kocham“. To mogło zdarzyć się wszędzie, bo wszędzie są matki i ojcowie, sklepowe, listonoszki i ciotki Jadwigi, wszędzie są katechetki i łysiejący proboszcze. I cuda mogą wydarzyć się wszędzie. To mogło zdarzyć się każdemu, ale zdarzyło się jej. A przecież niczym szczególnym na ten cud nie zasłużyła, bo żyła we wsi jak wszyscy, ze sprawiedliwie przez Opatrzność przydzielonym losem. Może tylko modliła się szczerzej, może bardziej niż inni prosiła o łaskę, mniej bała się wieczności i mocniej wierzyła w to, że człowiek może być święty. „Dewocje“ to spowiedź z jednego życia, ale na mocy cudu także z żyć innych, z grzechów niespowiadalnych, które zalegają na samym dnie duszy, z wyrzutów sumienia, z win, żalu i lęku. Spowiedź, która nie niesie ze sobą ulgi zupełnego odpustu, ale opowieść, na końcu której okazuje się, że nieważne przez Kogo, ale dla kogo dzieje się cud. "
9788328707092,Nowy wspaniały świat ,01/01/1932,256,,Aldous Huxley,Muza,"„Nowy wspaniały świat” to jedna z najsłynniejszych antyutopii w literaturze XX wieku. Przedstawiona w powieści Huxleya wizja przyszłego społeczeństwa, które osiągnęło stan całkowitego zorganizowania i zrealizowało ideał powszechnej szczęśliwości, jest wizją przerażającą."
9788382022490,Biblioteka o Północy ,13/08/2020,398,,Matt Haig,Zysk i S-ka,"Błyskotliwa opowieść o tym, jak dokonane przez nas wybory wpływają na dobrze lub źle przeżyte życie."
9788366736009,Śmierć pani Westaway ,01/05/2018,480,,Ruth Ware,Czwarta Strona,Każda rodzina ma swoje mroczne tajemnice
9788324061037,"Gorzko, gorzko ",25/11/2020,656,,Joanna Bator,Znak,"""Gorzko, gorzko"" to opowieść o pragnieniu miłości i wolności, które dojrzewa w życiu i marzeniach czterech pokoleń kobiet. Dlaczego Berta popełniła zbrodnię? Kiedy Barbara nauczyła się tak dobrze rzucać nożem? Dlaczego Violetta otworzyła wek Pandory i co w nim było? Czy Kalinie uda się poznać prawdę? Historię Berty, Barbary i Violetty opowiada Kalina, która w Wałbrzychu, Unisławiu Śląskim i Sokołowsku odnajduje brakujące fragmenty rodzinnej historii i zszywa je w całość. Mozolnie rekonstruując pamięć swej naznaczonej traumą rodziny, mierzy się zarazem z własną miłosną utratą."
